,store,sido,gungu,store_address
982,퇴촌점,경기도,광주시,경기도 광주시 퇴촌면 광동로 97
983,파동점,대구광역시,수성구,대구광역시 수성구 파동로 99
984,파인힐(공단점),경기도,시흥시,경기도 시흥시 마유로 226 120호
985,파장2점,경기도,수원시장안구,"경기도 수원시장안구 파장천로44번길 88, 1층(파장동)"
986,파장점,경기도,수원시장안구,경기도 수원시장안구 파장로 79
987,판암2점,대전광역시,동구,대전광역시 동구 동부로  55-28 6단지상가 101
988,팽성점,경기도,평택시,경기도 평택시 팽성읍 안정쇼핑로 77-2
989,평내점,경기도,남양주시,경기도 남양주시 경춘로 1302
990,평리점,대구광역시,서구,대구광역시 서구 서대구로41길 7
991,평원점,강원도,원주시,강원도 원주시 평원로 67(평원동)
992,평창점(강원),강원도,평창군,강원도 평창군  평창읍 평창중앙로 84
993,평촌3점,경기도,안양시동안구,경기도 안양시동안구 관평로 227 한가람상가 103호
994,평촌5점,경기도,안양시동안구,"경기도 안양시동안구 동안로 2.109(호계동,무궁화진흥아파트상가)"
995,평택1점,경기도,평택시,"경기도 평택시 중앙로 19(통복동, 2층)"
996,평택법원점,경기도,평택시,경기도 평택시 평남로 1056 1층
997,평택지산점,경기도,평택시,경기도 평택시 지산로 82
998,평화점,전라북도,전주시완산구,전라북도 전주시완산구 구이로 2077
999,포남동점,강원도,강릉시,강원도 강릉시  강릉대로527번 15(포남동)
1000,포남로얄점,강원도,강릉시,강원도 강릉시  경강로 2265(포남동)
1001,포도원점,경기도,안양시동안구,경기도 안양시동안구 포도원로 6
1002,포승점,경기도,평택시,경기도 평택시 포승읍 서동대로 1155
1003,포천점,경기도,포천시,경기도 포천시 중앙로 184
1004,포항이동점,경상북도,포항시남구,경상북도 포항시남구 포스코대로 146
1005,포항장성점,경상북도,포항시북구,경상북도 포항시북구 성실로 38
1006,포항터미널점,경상북도,포항시남구,경상북도 포항시남구 중섬로 25(대잠동)
1007,풍납점,서울특별시,송파구,서울특별시 송파구 풍성로 24(풍납동)
1008,풍동식사점,경기도,고양시일산동구,"경기도 고양시일산동구 숲속마을2로 100, 1층101호(풍동)"
1009,풍무2점,경기도,김포시,"경기도 김포시 풍무로 51, 101호(풍무동)"
1010,하남신도시점,경기도,하남시,경기도 하남시 천현로 73
1011,하남점,광주광역시,광산구,광주광역시 광산구 산정로 41
1012,하늘도시점,인천광역시,중구,인천광역시 중구 하늘달빛로 80 
1013,하당동아점,전라남도,목포시,전라남도 목포시 신흥로45번길 9
1014,하대원점,경기도,성남시중원구,"경기도 성남시중원구 마지로155번길 25-7(하대원동,1층)"
1015,하동점,경상남도,하동군,경상남도 하동군 하동읍 중앙2길12
